scientific_name,latitude,longitude,timestamp_occ,timestamp_round,lat_round,lon_round,timestamp_ocean
Nephropsis rahayuae,13.24,93.17,2016-04-11,2016-04-11,13.24,93.17,
Nephropsis carpenteri,15.66,72.68,2018-02-27,2018-02-27,15.66,72.68,
Nephropsis carpenteri,13.37,80.65,2019-11-08,2019-11-08,13.37,80.65,
Nephropsis carpenteri,11.96,80.15,2019-11-29,2019-11-29,11.96,80.15,
Nephropsis carpenteri,15.76,72.36,2019-01-01,2019-01-01,15.76,72.36,
Nephropsis stewarti,8.24,76.49,2020-02-29,2020-02-29,8.24,76.49,
Nephropsis ensirostris,14.26,73.26,2010-10-15,2010-10-15,14.26,73.26,
Nephropsis ensirostris,8.36,76.24,2017-10-25,2017-10-25,8.36,76.24,
Nephropsis stewarti,11.15,92.33,2010-09-19,2010-09-19,11.15,92.33,
Nephropsis stewarti,10.9,93.07,2010-09-15,2010-09-15,10.9,93.07,
Nephropsis stewarti,11.91,80.14,2011-11-09,2011-11-09,11.91,80.14,
Nephropsis stewarti,7.75,93.21,2011-12-13,2011-12-13,7.75,93.21,
Nephropsis stewarti,12.14,93.19,2016-04-11,2016-04-11,12.14,93.19,
Nephropsis stewarti,11.19,92.34,2016-04-14,2016-04-14,11.19,92.34,
Nephropsis stewarti,13.27,93.26,2017-11-26,2017-11-26,13.27,93.26,
Nephropsis sulcata,8.41,75.89,2013-07-17,2013-07-17,8.41,75.89,
Nephropsis sulcata,8.01,76.43,2013-12-10,2013-12-10,8.01,76.43,
Acanthacaris tenuimana,8.01,76.43,2013-12-10,2013-12-10,8.01,76.43,
Nephropsis rahayuae,6.84,93.05,2011-12-10,2011-12-10,6.84,93.05,
Nephropsis carpenteri,11.95,80.15,2019-11-29,2019-11-29,11.95,80.15,
Guyanacaris keralam,12.1,74.32,2013-08-26,2013-08-26,12.1,74.32,
Paragourretia galathea,11.36,74.91,2015-05-25,2015-05-25,11.36,74.91,
Paragourretia galathea,15.47,73.07,2015-05-22,2015-05-22,15.47,73.07,
Charybdis (Archias) smithii,11.99,74.43,2011-08-08,2011-08-08,11.99,74.43,
Charybdis (Archias) smithii,12.91,92.45,2010-09-14,2010-09-14,12.91,92.45,
Charybdis (Archias) smithii,10.68,92.31,2010-09-20,2010-09-20,10.68,92.31,
Raninoides personatus,9.93,75.57,2015-05-27,2015-05-27,9.93,75.57,
Calappa gallus,10.72,92.71,2019-08-10,2019-08-10,10.72,92.71,
Tanaoa pustulosus,11.35,92.39,2015-01-11,2015-01-11,11.35,92.39,
Pleistacantha pungens,11.35,92.39,2015-01-11,2015-01-11,11.35,92.39,
Calappa guerini,15.47,73.07,2015-05-22,2015-05-22,15.47,73.07,
Pleistacantha pungens,13.03,92.17,2015-01-18,2015-01-18,13.03,92.17,
Paramaja gibba,11.35,92.39,2015-01-11,2015-01-11,11.35,92.39,
Calappa philargius,8.51,76.84,2015-05-28,2015-05-28,8.51,76.84,
Ethusa andamanica,7.22,77.53,2015-05-30,2015-05-30,7.22,77.53,
Urashima lamellidentatus,11.35,92.39,2015-01-11,2015-01-11,11.35,92.39,
Homolax megalops,11.35,92.39,2015-01-11,2015-01-11,11.35,92.39,
Homolax megalops,13.03,92.17,2015-01-18,2015-01-18,13.03,92.17,
Homolax megalops,10.86,92.19,2015-01-26,2015-01-26,10.86,92.19,
Mursia bicristimana,6.84,93.05,2011-12-10,2011-12-10,6.84,93.05,
Euclosiana nitida,22.49,68.19,2018-02-22,2018-02-22,22.49,68.19,
Euclosiana unidentata,15.47,73.07,2015-05-22,2015-05-22,15.47,73.07,
Urnalana pulchella,11.35,75.3,2015-05-25,2015-05-25,11.35,75.3,
Urnalana pulchella,7.44,77.6,2015-05-30,2015-05-30,7.44,77.6,
Arcania cornuta,15.47,73.07,2015-05-22,2015-05-22,15.47,73.07,
Arcania cornuta,22.49,68.19,2018-02-22,2018-02-22,22.49,68.19,
Arcania gracilis,11.35,75.3,2015-05-25,2015-05-25,11.35,75.3,
Arcania septemspinosa,22.49,68.19,2018-02-22,2018-02-22,22.49,68.19,
Arcania undecimspinosa,22.49,68.19,2018-02-22,2018-02-22,22.49,68.19,
Ebalia woodmasoni,11.35,75.3,2015-05-25,2015-05-25,11.35,75.3,
Myra brevimana,8.51,76.84,2015-05-28,2015-05-28,8.51,76.84,
Myra brevimana,12.82,74.51,2015-05-24,2015-05-24,12.82,74.51,
Myra brevimana,11.35,75.3,2015-05-25,2015-05-25,11.35,75.3,
Benthochascon hemingi,12.83,93.21,2010-09-17,2010-09-17,12.83,93.21,
Myra fugax,22.49,68.19,2018-02-22,2018-02-22,22.49,68.19,
Benthochascon hemingi,13.03,92.17,2015-01-18,2015-01-18,13.03,92.17,
Nursilia dentata,9.93,75.85,2015-05-26,2015-05-26,9.93,75.85,
Parilia alcocki,12.89,73.98,2015-05-24,2015-05-24,12.89,73.98,
Tokoyo eburnea,10.79,80.11,2019-11-30,2019-11-30,10.79,80.11,
Arcania brevifrons,10.79,80.11,2019-11-30,2019-11-30,10.79,80.11,
Paromolopsis boasi,7.52,93.4,2010-09-24,2010-09-24,7.52,93.4,
Myra brevimana,10.79,80.11,2019-11-30,2019-11-30,10.79,80.11,
Homolax megalops,12.78,93.08,2010-09-17,2010-09-17,12.78,93.08,
Lyphira perplexa,11.35,75.57,2015-05-25,2015-05-25,11.35,75.57,
Tokoyo eburnea,15.47,73.07,2015-05-22,2015-05-22,15.47,73.07,
Tokoyo eburnea,7.44,77.6,2015-05-30,2015-05-30,7.44,77.6,
Pariphiculus coronatus,15.47,73.07,2015-05-22,2015-05-22,15.47,73.07,
Pariphiculus coronatus,11.35,75.3,2015-05-25,2015-05-25,11.35,75.3,
Benthochascon hemingi,6.64,93.68,2010-09-24,2010-09-24,6.64,93.68,
Phalangipus hystrix,15.47,73.07,2015-05-22,2015-05-22,15.47,73.07,
Chorinachus dolichorhynchus,7.22,77.53,2015-05-30,2015-05-30,7.22,77.53,
Platymaia alcocki,7.75,93.21,2011-12-13,2011-12-13,7.75,93.21,
Carcinoplax indica,6.64,93.68,2010-09-24,2010-09-24,6.64,93.68,
Pleistacantha pungens,7.75,93.21,2011-12-13,2011-12-13,7.75,93.21,
Nectopanope rhodobaphes,7.21,77.17,2017-01-22,2017-01-22,7.21,77.17,
Kasagia sudhakari,7.44,77.6,2015-05-30,2015-05-30,7.44,77.6,
Cryptopodia contracta,11.35,75.3,2015-05-25,2015-05-25,11.35,75.3,
Parthenope longimanus,9.93,75.85,2015-05-26,2015-05-26,9.93,75.85,
Monomia gladiator,11.35,75.57,2015-05-25,2015-05-25,11.35,75.57,
Monomia gladiator,8.51,76.84,2015-05-28,2015-05-28,8.51,76.84,
Retropluma notopus,9.93,75.57,2015-05-27,2015-05-27,9.93,75.57,
Dicranodromia baffini,13.27,93.26,2017-11-26,2017-11-26,13.27,93.26,
Homolochunia valdiviae,13.27,93.26,2017-11-26,2017-11-26,13.27,93.26,
Gordonopsis robusta,13.27,93.26,2017-11-26,2017-11-26,13.27,93.26,
Homolax megalops,13.0,93.11,2011-11-28,2011-11-28,13.0,93.11,
Neopalicus contractus,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Homolax megalops,12.49,93.18,2017-11-25,2017-11-25,12.49,93.18,
Homolax megalops,11.8,92.09,2017-11-28,2017-11-28,11.8,92.09,
Homolax megalops,12.53,93.15,2016-04-10,2016-04-10,12.53,93.15,
Homolax megalops,12.74,93.11,2016-04-10,2016-04-10,12.74,93.11,
Homolax megalops,11.93,92.28,2016-04-12,2016-04-12,11.93,92.28,
Homolax megalops,12.14,93.19,2016-04-11,2016-04-11,12.14,93.19,
Homolax megalops,13.24,93.17,2016-04-11,2016-04-11,13.24,93.17,
Homolax megalops,6.84,93.05,2011-12-10,2011-12-10,6.84,93.05,
Petalomera indica,8.0,93.65,2017-01-13,2017-01-13,8.0,93.65,
Homolax megalops,7.75,93.21,2011-12-13,2011-12-13,7.75,93.21,
Homolax megalops,13.03,93.1,2010-09-16,2010-09-16,13.03,93.1,
Homolax megalops,13.22,93.18,2011-11-27,2011-11-27,13.22,93.18,
Tanaoa pustulosus,13.03,92.17,2015-01-18,2015-01-18,13.03,92.17,
Pleistacantha pungens,8.24,76.49,2020-02-29,2020-02-29,8.24,76.49,
Encephaloides armstrongi,17.1,83.3,2020-03-12,2020-03-12,17.1,83.3,
Paromolopsis boasi,8.24,76.49,2020-02-29,2020-02-29,8.24,76.49,
Prismatopus longispinus,8.0,93.65,2017-01-13,2017-01-13,8.0,93.65,
Paromolopsis boasi,10.73,80.64,2011-11-07,2011-11-07,10.73,80.64,
Parilia alcocki,9.98,75.59,2010-08-08,2010-08-08,9.98,75.59,
Homolax megalops,10.17,75.66,2020-02-21,2020-02-21,10.17,75.66,
Mursia bicristimana,10.17,75.66,2020-02-21,2020-02-21,10.17,75.66,
Homolax megalops,11.16,92.39,2011-11-22,2011-11-22,11.16,92.39,
Homolodromia rajeevani,10.73,80.64,2011-11-07,2011-11-07,10.73,80.64,
Paromolopsis boasi,12.12,80.33,2011-11-05,2011-11-05,12.12,80.33,
Paromolopsis boasi,13.27,93.26,2017-11-26,2017-11-26,13.27,93.26,
Paromolopsis boasi,11.8,92.09,2017-11-28,2017-11-28,11.8,92.09,
Ethusa andamanica,13.0,93.11,2011-11-28,2011-11-28,13.0,93.11,
Mursia bicristimana,12.53,93.15,2016-04-10,2016-04-10,12.53,93.15,
Arcania undecimspinosa,10.71,93.22,2015-01-25,2015-01-25,10.71,93.22,
Parilia pattersoni,13.0,93.11,2011-11-28,2011-11-28,13.0,93.11,
Tanaoa pustulosus,7.53,93.65,2011-12-11,2011-12-11,7.53,93.65,
Tanaoa pustulosus,12.14,93.19,2016-04-11,2016-04-11,12.14,93.19,
Tanaoa pustulosus,13.27,93.26,2017-11-26,2017-11-26,13.27,93.26,
Urashima lamellidentatus,13.0,93.11,2011-11-28,2011-11-28,13.0,93.11,
Paramaja gibba,12.53,93.15,2016-04-10,2016-04-10,12.53,93.15,
Paramaja gibba,12.49,93.18,2017-11-25,2017-11-25,12.49,93.18,
Pleistacantha pungens,11.16,92.39,2011-11-22,2011-11-22,11.16,92.39,
Pleistacantha pungens,9.6,92.73,2016-04-06,2016-04-06,9.6,92.73,
Pleistacantha pungens,6.84,93.05,2011-12-10,2011-12-10,6.84,93.05,
Pleistacantha pungens,13.27,93.26,2017-11-26,2017-11-26,13.27,93.26,
Platymaia alcocki,11.16,92.39,2011-11-22,2011-11-22,11.16,92.39,
Platymaia alcocki,6.84,93.05,2011-12-10,2011-12-10,6.84,93.05,
Platymaia alcocki,12.49,93.18,2017-11-25,2017-11-25,12.49,93.18,
Cyrtomaia goodridgei,7.53,93.65,2011-12-11,2011-12-11,7.53,93.65,
Cyrtomaia goodridgei,13.27,93.26,2017-11-26,2017-11-26,13.27,93.26,
Dairoides seafdeci,13.22,93.18,2011-11-27,2011-11-27,13.22,93.18,
Dairoides seafdeci,13.0,93.11,2011-11-28,2011-11-28,13.0,93.11,
Dairoides seafdeci,9.52,92.6,2015-01-27,2015-01-27,9.52,92.6,
Dairoides seafdeci,12.53,93.15,2016-04-10,2016-04-10,12.53,93.15,
Benthochascon hemingi,6.84,93.05,2011-12-10,2011-12-10,6.84,93.05,
Benthochascon hemingi,7.75,93.21,2011-12-13,2011-12-13,7.75,93.21,
Benthochascon hemingi,8.52,93.02,2011-12-14,2011-12-14,8.52,93.02,
Carcinoplax indica,13.22,93.18,2011-11-27,2011-11-27,13.22,93.18,
Homolodromia rajeevani,14.37,73.03,2018-04-09,2018-04-09,14.37,73.03,
Homolodromia rajeevani,14.39,73.03,2018-02-28,2018-02-28,14.39,73.03,
Homolodromia rajeevani,11.01,80.3,2010-08-26,2010-08-26,11.01,80.3,
Crocydocinus saravananei,8.41,76.16,2017-10-26,2017-10-26,8.41,76.16,
Urashima lamellidentatus,11.57,92.81,2019-08-09,2019-08-09,11.57,92.81,
Cycloes marisrubri,8.44,93.59,2019-08-13,2019-08-13,8.44,93.59,
Urnalana purarensis,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Oncinopus neptunus,10.72,92.71,2019-08-10,2019-08-10,10.72,92.71,
Oncinopus angustifrons,10.72,92.71,2019-08-10,2019-08-10,10.72,92.71,
Pseudolambrus calappoides,10.72,92.71,2019-08-10,2019-08-10,10.72,92.71,
Pseudolambrus tarpeius,10.72,92.71,2019-08-10,2019-08-10,10.72,92.71,
Rhinolambrus longispinus,10.72,92.71,2019-08-10,2019-08-10,10.72,92.71,
Rhabdonotus pictus,8.12,93.64,2019-08-13,2019-08-13,8.12,93.64,
Cavoportunus dubius,8.44,93.59,2019-08-13,2019-08-13,8.44,93.59,
Quadrella reticulata,8.44,93.59,2019-08-13,2019-08-13,8.44,93.59,
Cyrtocarcinus truncatus,8.44,93.59,2019-08-13,2019-08-13,8.44,93.59,
Visayax osteodictyon,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Bruciana pediger,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Liomera monticulosa,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Xanthias joanneae,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Lophozozymus dodone,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Lissocarcinus laevis,10.72,92.71,2019-08-10,2019-08-10,10.72,92.71,
Lupocyclus tugelae,10.72,92.71,2019-08-10,2019-08-10,10.72,92.71,
Lupocyclus tugelae,10.79,80.11,2019-11-30,2019-11-30,10.79,80.11,
Lupocyclus strigosus,10.72,92.71,2019-08-10,2019-08-10,10.72,92.71,
Monomia argentata argentata,20.01,69.55,2018-11-22,2018-11-22,20.01,69.55,
Monomia argentata argentata,10.79,80.11,2019-11-30,2019-11-30,10.79,80.11,
Monomia petrea,10.72,92.71,2019-08-10,2019-08-10,10.72,92.71,
Monomia petrea,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Monomia rubromarginata,10.72,92.71,2019-08-10,2019-08-10,10.72,92.71,
Cycloachelous levigatus,10.79,80.11,2019-11-30,2019-11-30,10.79,80.11,
Xiphonectes tuberculosus,10.79,80.11,2019-11-30,2019-11-30,10.79,80.11,
Charybdis (Charybdis) riversandersoni,20.01,69.55,2018-11-22,2018-11-22,20.01,69.55,
Charybdis (Archias) pusilla,20.01,69.55,2018-11-22,2018-11-22,20.01,69.55,
Charybdis (Archias) pusilla,17.46,71.82,2018-11-23,2018-11-23,17.46,71.82,
Goniosupradens acutifrons,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Thalamita malaccensis,17.46,71.82,2018-11-23,2018-11-23,17.46,71.82,
Thalamita picta,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Thalamita sexlobata,10.72,92.71,2019-08-10,2019-08-10,10.72,92.71,
Thalamita oculea,10.72,92.71,2019-08-10,2019-08-10,10.72,92.71,
Thalamita oculea,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Thalamita sima,10.79,80.11,2019-11-30,2019-11-30,10.79,80.11,
Thalamita spinifera,10.79,80.11,2019-11-30,2019-11-30,10.79,80.11,
Parilia alcocki,12.68,74.76,2010-10-16,2010-10-16,12.68,74.76,
Parilia alcocki,12.93,73.52,2019-09-30,2019-09-30,12.93,73.52,
Calappa bilineata,9.38,75.92,2019-03-04,2019-03-04,9.38,75.92,
Calappa exanthematosa,9.5,75.7,2018-03-03,2018-03-03,9.5,75.7,
Mursia bicristimana,11.33,74.9,2013-08-27,2013-08-27,11.33,74.9,
Mursia bicristimana,14.39,73.03,2018-02-28,2018-02-28,14.39,73.03,
Mursia bicristimana,9.38,75.92,2019-03-04,2019-03-04,9.38,75.92,
Arcania brevifrons,8.5,76.85,2009-05-31,2009-05-31,8.5,76.85,
Lyphira perplexa,9.0,76.39,2009-06-03,2009-06-03,9.0,76.39,
Tokoyo eburnea,8.5,76.85,2009-05-31,2009-05-31,8.5,76.85,
Encephaloides armstrongi,12.68,74.76,2010-10-16,2010-10-16,12.68,74.76,
Encephaloides armstrongi,10.96,80.29,2016-11-20,2016-11-20,10.96,80.29,
Encephaloides armstrongi,12.6,80.65,2019-11-08,2019-11-08,12.6,80.65,
Doclea muricata,9.0,76.39,2009-06-03,2009-06-03,9.0,76.39,
Doclea muricata,11.33,74.9,2013-08-27,2013-08-27,11.33,74.9,
Samadinia riversandersoni,14.39,73.03,2018-02-28,2018-02-28,14.39,73.03,
Samadinia riversandersoni,14.37,73.03,2018-04-09,2018-04-09,14.37,73.03,
Cryptopodia collifer,8.5,76.85,2009-05-31,2009-05-31,8.5,76.85,
Carcinoplax fasciata,14.39,73.03,2018-02-28,2018-02-28,14.39,73.03,
Carcinoplax indica,14.39,73.03,2018-02-28,2018-02-28,14.39,73.03,
Lauridromia dehaani,22.49,68.19,2018-02-22,2018-02-22,22.49,68.19,
Homolax megalops,9.5,75.7,2018-03-03,2018-03-03,9.5,75.7,
Homolax megalops,10.9,93.07,2010-09-15,2010-09-15,10.9,93.07,
Homolax megalops,11.95,80.15,2019-11-29,2019-11-29,11.95,80.15,
Retropluma notopus,10.67,80.38,2019-11-30,2019-11-30,10.67,80.38,
Paromolopsis boasi,10.9,93.07,2010-09-15,2010-09-15,10.9,93.07,
Lysirude channeri,8.23,76.49,2019-12-05,2019-12-05,8.23,76.49,
Notosceles serratifrons,7.68,77.51,2019-12-04,2019-12-04,7.68,77.51,
Notosceles serratifrons,8.47,76.49,2009-05-05,2009-05-05,8.47,76.49,
Dorippoides nudipes,9.0,76.39,2009-06-03,2009-06-03,9.0,76.39,
Ethusina gracilipes,14.39,73.03,2018-02-28,2018-02-28,14.39,73.03,
Ethusina gracilipes,19.95,87.01,2019-11-16,2019-11-16,19.95,87.01,
Portunus sanguinolentus,22.49,68.19,2018-02-22,2018-02-22,22.49,68.19,
Portunus sanguinolentus,8.5,76.85,2009-05-31,2009-05-31,8.5,76.85,
Monomia,8.5,76.85,2009-05-31,2009-05-31,8.5,76.85,
Charybdis (Charybdis) beauforti,9.38,75.92,2019-03-04,2019-03-04,9.38,75.92,
Charybdis (Charybdis) miles,22.49,68.19,2018-02-22,2018-02-22,22.49,68.19,
Charybdis (Charybdis) natator,22.49,68.19,2018-02-22,2018-02-22,22.49,68.19,
Charybdis (Archias) hoplites,17.62,72.01,2018-01-15,2018-01-15,17.62,72.01,
Charybdis (Archias) hoplites,22.49,68.19,2018-02-22,2018-02-22,22.49,68.19,
Charybdis (Archias) hoplites,20.3,69.39,2018-02-24,2018-02-24,20.3,69.39,
Charybdis (Archias) smithii,10.59,80.2,2009-05-05,2009-05-05,10.59,80.2,
Charybdis (Archias) smithii,7.48,77.51,2009-05-30,2009-05-30,7.48,77.51,
Charybdis (Archias) smithii,8.98,75.44,2009-08-14,2009-08-14,8.98,75.44,
Charybdis (Archias) smithii,11.14,75.38,2010-08-10,2010-08-10,11.14,75.38,
Charybdis (Archias) smithii,6.64,93.68,2010-09-24,2010-09-24,6.64,93.68,
Charybdis (Archias) smithii,11.33,74.9,2013-08-27,2013-08-27,11.33,74.9,
Charybdis (Archias) smithii,8.23,76.28,2019-07-07,2019-07-07,8.23,76.28,
Charybdis (Archias) smithii,7.29,77.5,2019-12-04,2019-12-04,7.29,77.5,
Charybdis (Archias) smithii,8.28,76.56,2019-12-05,2019-12-05,8.28,76.56,
Crocydocinus saravananei,8.46,76.41,2009-06-01,2009-06-01,8.46,76.41,
Sphaerodromia kendalli,13.22,80.51,2010-08-29,2010-08-29,13.22,80.51,
Sphaerodromia nux,11.93,92.28,2016-04-12,2016-04-12,11.93,92.28,
Intesius brevipes,11.35,92.39,2015-01-11,2015-01-11,11.35,92.39,
Tunepugettia corbariae,12.83,93.21,2010-09-17,2010-09-17,12.83,93.21,
Cyrtomaia suhmii,6.64,93.68,2010-09-24,2010-09-24,6.64,93.68,
Sphenomerides trapezioides,6.64,93.68,2010-09-24,2010-09-24,6.64,93.68,
Chaceon alcocki,9.25,76.17,2013-12-13,2013-12-13,9.25,76.17,
Charybdis (Archias) smithii,9.98,75.59,2010-08-08,2010-08-08,9.98,75.59,
Urashima lamellidentatus,10.17,75.66,2020-02-21,2020-02-21,10.17,75.66,
Carcinoplax fasciata,10.17,75.66,2020-02-21,2020-02-21,10.17,75.66,
Tokoyo eburnea,13.02,74.02,2018-11-25,2018-11-25,13.02,74.02,
Charybdis (Archias) smithii,9.74,75.62,2018-04-12,2018-04-12,9.74,75.62,
Kasagia sudhakari,7.42,77.52,2019-12-04,2019-12-04,7.42,77.52,
Jonas,7.42,77.52,2019-12-04,2019-12-04,7.42,77.52,
Homolax megalops,10.07,75.62,2010-10-14,2010-10-14,10.07,75.62,
Lysirude channeri,10.07,75.62,2010-10-14,2010-10-14,10.07,75.62,
Myra brevimana,6.96,93.6,2019-08-17,2019-08-17,6.96,93.6,
Myrine kesslerii,6.96,93.6,2019-08-17,2019-08-17,6.96,93.6,
Urnalana pulchella,6.96,93.6,2019-08-17,2019-08-17,6.96,93.6,
Liomera monticulosa,8.37,93.57,2019-08-13,2019-08-13,8.37,93.57,
Hypocolpus,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Pseudolambrus confragosus,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Pseudolambrus calappoides,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Monomia,22.49,68.19,2018-02-22,2018-02-22,22.49,68.19,
Calappa guerini,22.49,68.19,2018-02-22,2018-02-22,22.49,68.19,
Xiphonectes pulchricristatus,22.49,68.19,2018-02-22,2018-02-22,22.49,68.19,
Myra,22.49,68.19,2018-02-22,2018-02-22,22.49,68.19,
Tokoyo eburnea,15.68,72.95,2018-02-27,2018-02-27,15.68,72.95,
Charybdis (Archias) hoplites,15.68,72.95,2018-02-27,2018-02-27,15.68,72.95,
Monomia,15.68,72.95,2018-02-27,2018-02-27,15.68,72.95,
Homolax megalops,12.47,74.15,2013-08-24,2013-08-24,12.47,74.15,
Homolax megalops,11.15,92.33,2010-09-19,2010-09-19,11.15,92.33,
Homolax megalops,12.1,74.32,2013-08-26,2013-08-26,12.1,74.32,
Pleistacantha pungens,10.9,93.07,2010-09-15,2010-09-15,10.9,93.07,
Pleistacantha pungens,12.81,93.08,2010-09-17,2010-09-17,12.81,93.08,
Platymaia alcocki,12.81,93.08,2010-09-17,2010-09-17,12.81,93.08,
Calappa exanthematosa,11.18,74.98,2010-08-11,2010-08-11,11.18,74.98,
Calappa exanthematosa,9.98,75.59,2010-08-08,2010-08-08,9.98,75.59,
Lauridromia dehaani,9.7,76.01,2010-08-09,2010-08-09,9.7,76.01,
Homolodromia rajeevani,14.26,73.26,2010-10-15,2010-10-15,14.26,73.26,
Charybdis (Archias) omanensis septentrionalis,9.99,75.6,2011-08-10,2011-08-10,9.99,75.6,
Paromolopsis boasi,14.26,73.26,2010-10-15,2010-10-15,14.26,73.26,
Ethusina gracilipes,14.26,73.26,2010-10-15,2010-10-15,14.26,73.26,
Homolax megalops,17.05,83.3,2010-09-02,2010-09-02,17.05,83.3,
Singhaplax,8.44,93.59,2019-08-13,2019-08-13,8.44,93.59,
Parilia alcocki,13.2,80.58,2020-03-08,2020-03-08,13.2,80.58,
Parilia alcocki,13.47,80.54,2020-03-08,2020-03-08,13.47,80.54,
Encephaloides armstrongi,13.2,80.58,2020-03-08,2020-03-08,13.2,80.58,
Carcinoplax indica,12.1,74.32,2013-08-26,2013-08-26,12.1,74.32,
Retropluma notopus,10.57,80.43,2019-11-06,2019-11-06,10.57,80.43,
Eupasiphae latirostris,11.38,92.78,2015-01-16,2015-01-16,11.38,92.78,
Pasiphaea alcocki,8.39,93.34,2015-01-29,2015-01-29,8.39,93.34,
Acanthephyra carinata,8.48,93.43,2016-04-05,2016-04-05,8.48,93.43,
Acanthephyra carinata,6.84,93.05,2011-12-10,2011-12-10,6.84,93.05,
Acanthephyra eximia,11.36,92.8,2015-01-16,2015-01-16,11.36,92.8,
Acanthephyra eximia,11.38,92.78,2015-01-16,2015-01-16,11.38,92.78,
Acanthephyra fimbriata,11.16,92.39,2011-11-22,2011-11-22,11.16,92.39,
Acanthephyra fimbriata,11.36,92.8,2015-01-16,2015-01-16,11.36,92.8,
Acanthephyra fimbriata,10.73,80.64,2011-11-07,2011-11-07,10.73,80.64,
Acanthephyra fimbriata,6.83,93.76,2015-02-01,2015-02-01,6.83,93.76,
Acanthephyra fimbriata,7.5,93.42,2015-02-02,2015-02-02,7.5,93.42,
Acanthephyra carinata,8.52,93.02,2011-12-14,2011-12-14,8.52,93.02,
Acanthephyra fimbriata,7.52,93.4,2010-09-24,2010-09-24,7.52,93.4,
Acanthephyra fimbriata,6.84,93.05,2011-12-10,2011-12-10,6.84,93.05,
Acanthephyra eximia,8.52,93.02,2011-12-14,2011-12-14,8.52,93.02,
Oplophorus gracilirostris,11.58,93.19,2015-01-19,2015-01-19,11.58,93.19,
Oplophorus gracilirostris,10.8,92.74,2015-01-25,2015-01-25,10.8,92.74,
Oplophorus gracilirostris,12.81,93.08,2010-09-17,2010-09-17,12.81,93.08,
Acanthephyra fimbriata,8.52,93.02,2011-12-14,2011-12-14,8.52,93.02,
Nematocarcinus bituberculatus,11.35,92.39,2015-01-11,2015-01-11,11.35,92.39,
Nematocarcinus bituberculatus,7.5,93.42,2015-02-02,2015-02-02,7.5,93.42,
Nematocarcinus,11.19,92.34,2016-04-14,2016-04-14,11.19,92.34,
Heterocarpus sibogae,7.75,93.21,2011-12-13,2011-12-13,7.75,93.21,
Psalidopus huxleyi,13.27,93.26,2017-11-26,2017-11-26,13.27,93.26,
Chlorotocus crassicornis,11.21,92.36,2015-01-15,2015-01-15,11.21,92.36,
Heterocarpus chani,11.8,92.33,2015-01-14,2015-01-14,11.8,92.33,
Heterocarpus chani,11.21,92.36,2015-01-15,2015-01-15,11.21,92.36,
Heterocarpus chani,11.35,92.39,2015-01-11,2015-01-11,11.35,92.39,
Heterocarpus chani,9.98,75.59,2010-08-08,2010-08-08,9.98,75.59,
Heterocarpus chani,10.86,92.19,2015-01-26,2015-01-26,10.86,92.19,
Heterocarpus chani,9.65,92.65,2015-01-27,2015-01-27,9.65,92.65,
Heterocarpus chani,8.39,93.34,2015-01-29,2015-01-29,8.39,93.34,
Heterocarpus chani,6.83,93.76,2015-02-01,2015-02-01,6.83,93.76,
Heterocarpus chani,12.48,92.39,2016-04-04,2016-04-04,12.48,92.39,
Heterocarpus chani,8.48,93.43,2016-04-05,2016-04-05,8.48,93.43,
Heterocarpus chani,12.53,93.15,2016-04-10,2016-04-10,12.53,93.15,
Heterocarpus chani,12.74,93.11,2016-04-10,2016-04-10,12.74,93.11,
Heterocarpus chani,13.24,93.17,2016-04-11,2016-04-11,13.24,93.17,
Heterocarpus chani,12.14,93.19,2016-04-11,2016-04-11,12.14,93.19,
Heterocarpus chani,11.19,92.34,2016-04-14,2016-04-14,11.19,92.34,
Heterocarpus chani,12.49,93.18,2017-11-25,2017-11-25,12.49,93.18,
Heterocarpus sibogae,6.83,93.76,2015-02-01,2015-02-01,6.83,93.76,
Heterocarpus sibogae,9.6,92.73,2016-04-06,2016-04-06,9.6,92.73,
Psalidopus huxleyi,14.37,73.03,2018-04-09,2018-04-09,14.37,73.03,
Heterocarpus woodmasoni,12.53,93.15,2016-04-10,2016-04-10,12.53,93.15,
Heterocarpus chani,7.52,93.4,2010-09-24,2010-09-24,7.52,93.4,
Heterocarpus chani,6.84,93.05,2011-12-10,2011-12-10,6.84,93.05,
Plesionika semilaevis,7.5,93.42,2015-02-02,2015-02-02,7.5,93.42,
Eupasiphae gilesii,14.37,73.03,2018-04-09,2018-04-09,14.37,73.03,
Plesionika orientalis,7.75,93.21,2011-12-13,2011-12-13,7.75,93.21,
