scientific_name,latitude,longitude,timestamp_occ,timestamp_round,lat_round,lon_round,timestamp_ocean
Pleurobranchus forskalii,10.83,72.19,2018-05-20,2018-05-20,10.83,72.19,
Plakobranchus ocellatus,10.86,72.2,2018-11-04,2018-11-04,10.86,72.2,
Dendrodoris nigra,10.86,72.2,2018-11-04,2018-11-04,10.86,72.2,
Phestilla lugubris,10.83,72.19,2018-05-20,2018-05-20,10.83,72.19,
Stylocheilus striatus,10.83,72.19,2018-05-20,2018-05-20,10.83,72.19,
Dendrodoris nigra,10.86,72.2,2019-05-06,2019-05-06,10.86,72.2,
Phestilla lugubris,10.83,72.19,2019-05-06,2019-05-06,10.83,72.19,
Stylocheilus striatus,10.83,72.19,2019-05-06,2019-05-06,10.83,72.19,
Thuridilla gracilis,10.86,72.2,2019-05-07,2019-05-07,10.86,72.2,
Berthellina delicata,10.84,72.18,2019-05-08,2019-05-08,10.84,72.18,
Lepidonotus cristatus,10.84,72.18,2018-11-03,2018-11-03,10.84,72.18,
Iphione muricata,10.84,72.18,2018-11-03,2018-11-03,10.84,72.18,
Iphione ovata,10.84,72.18,2018-11-03,2018-11-03,10.84,72.18,
Protodorvillea egena,10.84,72.18,2018-11-03,2018-11-03,10.84,72.18,
Glycera lancadivae,10.84,72.18,2018-11-03,2018-11-03,10.84,72.18,
Glycera benguellana,10.84,72.18,2018-11-04,2018-11-04,10.84,72.18,
Glycera papillosa,10.84,72.18,2018-11-04,2018-11-04,10.84,72.18,
Glycera tesselata,10.84,72.18,2018-11-04,2018-11-04,10.84,72.18,
Podarkeopsis capensis,10.84,72.18,2018-11-04,2018-11-04,10.84,72.18,
Onuphis holobranchiata,10.84,72.18,2018-11-04,2018-11-04,10.84,72.18,
Namanereis,10.84,72.18,2018-11-04,2018-11-04,10.84,72.18,
Platynereis,10.84,72.18,2018-11-04,2018-11-04,10.84,72.18,
Eurythoe,10.84,72.18,2018-11-05,2018-11-05,10.84,72.18,
Novafabricia,10.84,72.18,2018-11-05,2018-11-05,10.84,72.18,
Chone filicaudata,10.84,72.18,2018-11-05,2018-11-05,10.84,72.18,
Chone letterstedti,10.84,72.18,2018-11-05,2018-11-05,10.84,72.18,
Phyllodoce malmgreni,10.84,72.18,2018-11-05,2018-11-05,10.84,72.18,
Podarkeopsis,10.84,72.18,2018-11-06,2018-11-06,10.84,72.18,
Notomastus aberans,10.84,72.18,2018-11-06,2018-11-06,10.84,72.18,
Mediomastus,10.84,72.18,2018-11-06,2018-11-06,10.84,72.18,
Paradoneis lyra,10.84,72.18,2018-11-06,2018-11-06,10.84,72.18,
Euclymene,10.84,72.18,2018-11-06,2018-11-06,10.84,72.18,
Lumbrineris latreilli,10.84,72.18,2018-11-07,2018-11-07,10.84,72.18,
Lumbrineris meteorana,10.84,72.18,2018-11-07,2018-11-07,10.84,72.18,
Pisione brevicirra,10.84,72.18,2018-11-07,2018-11-07,10.84,72.18,
Ctenodrilus serratus,10.84,72.18,2018-11-07,2018-11-07,10.84,72.18,
Polycirrus,10.84,72.18,2018-11-07,2018-11-07,10.84,72.18,
Caulleriella bioculata,10.84,72.18,2018-11-07,2018-11-07,10.84,72.18,
Poecilochaetus serpens,10.84,72.18,2018-11-07,2018-11-07,10.84,72.18,
Chrysopetalum debile,10.84,72.18,2018-11-07,2018-11-07,10.84,72.18,
Polyophthalmus,10.84,72.18,2018-11-07,2018-11-07,10.84,72.18,
Tachytrypane,10.84,72.18,2018-11-07,2018-11-07,10.84,72.18,
Saccocirrus,10.84,72.18,2018-11-08,2018-11-08,10.84,72.18,
Polygordius,10.84,72.18,2018-11-08,2018-11-08,10.84,72.18,
Naineris setosa,10.84,72.18,2018-11-08,2018-11-08,10.84,72.18,
Aonides,10.84,72.18,2018-11-08,2018-11-08,10.84,72.18,
Scolelepis,10.84,72.18,2018-11-08,2018-11-08,10.84,72.18,
Lysidice unicornis,10.84,72.18,2018-11-09,2018-11-09,10.84,72.18,
Prionospio cerastae,10.84,72.18,2018-11-09,2018-11-09,10.84,72.18,
Laonice cirrata,10.84,72.18,2018-11-09,2018-11-09,10.84,72.18,
Armandia intermedia,10.84,72.18,2018-11-09,2018-11-09,10.84,72.18,
Spiochaetopterus,10.84,72.18,2018-11-10,2018-11-10,10.84,72.18,
Pionosyllis,10.84,72.18,2018-11-10,2018-11-10,10.84,72.18,
Exogone,10.84,72.18,2018-11-10,2018-11-10,10.84,72.18,
Sphaerosyllis,10.84,72.18,2018-11-10,2018-11-10,10.84,72.18,
Syllis cornuta,10.84,72.18,2018-11-10,2018-11-10,10.84,72.18,
Dorvillea,10.84,72.18,2018-11-10,2018-11-10,10.84,72.18,
Ampharete agulhasensis,10.84,72.18,2018-11-10,2018-11-10,10.84,72.18,
Scoloplos,10.84,72.18,2018-11-10,2018-11-10,10.84,72.18,
Pseudexogone,10.84,72.18,2018-11-10,2018-11-10,10.84,72.18,
Halosydna,10.84,72.18,2018-11-10,2018-11-10,10.84,72.18,
Pseudobiceros apricus,10.88,72.2,2018-05-12,2018-05-12,10.88,72.2,
Pseudoceros bolool,10.88,72.17,2018-05-12,2018-05-12,10.88,72.17,
Pseudoceros agattiensis,10.02,72.2,2018-05-12,2018-05-12,10.02,72.2,
Pseudoceros stellans,10.0,72.18,2018-05-21,2018-05-21,10.0,72.18,
Pseudoceros paralaticlavus,10.86,72.2,2018-05-06,2018-05-06,10.86,72.2,
Pseudobiceros hancockanus,10.86,72.2,2018-05-11,2018-05-11,10.86,72.2,
Pseudoceros duplicinctus,10.85,72.19,2018-05-17,2018-05-17,10.85,72.19,
Pseudoceros bolool,10.86,72.2,2018-11-09,2018-11-09,10.86,72.2,
Pseudobiceros hancockanus,10.86,72.2,2018-11-09,2018-11-09,10.86,72.2,
Pseudoceros bolool,10.86,72.2,2019-05-06,2019-05-06,10.86,72.2,
Acanthozoon fuscobulbosum,10.86,72.2,2019-05-06,2019-05-06,10.86,72.2,
Pseudobiceros stellae,10.86,72.2,2019-05-06,2019-05-06,10.86,72.2,
Pseudoceros galatheensis,10.83,72.19,2019-05-07,2019-05-07,10.83,72.19,
Pseudobiceros damawan,10.83,72.19,2019-05-07,2019-05-07,10.83,72.19,
Pseudobiceros hancockanus,10.85,72.19,2019-05-09,2019-05-09,10.85,72.19,
Pseudoceros duplicinctus,10.85,72.19,2019-05-09,2019-05-09,10.85,72.19,
Pseudoceros duplicinctus,11.22,72.77,2020-02-17,2020-02-17,11.22,72.77,
Pseudoceros indicus,11.22,72.77,2020-02-17,2020-02-17,11.22,72.77,
Pseudoceros galatheensis,11.11,72.71,2020-02-18,2020-02-18,11.11,72.71,
Pseudobiceros stellae,11.11,72.71,2020-02-18,2020-02-18,11.11,72.71,
Pseudoceros duplicinctus,10.54,72.62,2020-02-23,2020-02-23,10.54,72.62,
Pseudoceros galatheensis,10.54,72.62,2020-02-23,2020-02-23,10.54,72.62,
Bulaceros porcellanus,10.85,72.19,2018-07-11,2018-07-11,10.85,72.19,
Bulaceros newcannorum,10.83,72.19,2019-07-05,2019-07-05,10.83,72.19,
Bulaceros newcannorum,10.56,72.63,2020-02-22,2020-02-22,10.56,72.63,
Pseudoceros galaxea,10.84,72.18,2019-05-07,2019-05-07,10.84,72.18,
Pseudoceros paralaticlavus,10.86,72.2,2018-11-09,2018-11-09,10.86,72.2,
Pseudoceros paralaticlavus,10.54,72.62,2020-02-23,2020-02-23,10.54,72.62,
Pseudobiceros stellae,11.22,72.77,2020-02-17,2020-02-17,11.22,72.77,
Pericelis byerleyana,10.86,72.2,2019-05-06,2019-05-06,10.86,72.2,
Phascolosoma (Phascolosoma) pacificum,10.86,72.2,2018-11-09,2018-11-09,10.86,72.2,
Anchylomera blossevillei,-31.98,57.483333,2009-02-16,2009-02-16,-31.98,57.48,
Hyperietta stephenseni,-31.98,57.483333,2009-02-16,2009-02-16,-31.98,57.48,
Themisto gaudichaudi,-47.1,57.6,2009-02-23,2009-02-23,-47.1,57.6,
Themisto gaudichaudi,-47.98,48.5,2009-02-15,2009-02-15,-47.98,48.5,
Themisto gaudichaudi,-47.0,45.0,2009-02-16,2009-02-16,-47.0,45.0,
Themisto gaudichaudi,-46.0,45.0,2009-02-16,2009-02-16,-46.0,45.0,
Themisto gaudichaudi,-45.0,45.0,2009-02-17,2009-02-17,-45.0,45.0,
Themisto gaudichaudi,-43.0,46.983333,2009-02-18,2009-02-18,-43.0,46.98,
Linuparus somniosus,13.22,93.18,2011-11-27,2011-11-27,13.22,93.18,
Puerulus angulatus,6.64,93.68,2010-09-24,2010-09-24,6.64,93.68,
Puerulus sewelli,12.81,93.08,2010-09-17,2010-09-17,12.81,93.08,
Puerulus sewelli,11.15,92.33,2010-09-19,2010-09-19,11.15,92.33,
Puerulus sewelli,6.64,93.68,2010-09-24,2010-09-24,6.64,93.68,
Puerulus sewelli,13.22,93.18,2011-11-27,2011-11-27,13.22,93.18,
