scientific_name,latitude,longitude,timestamp
Laonice cirrata,10.84,72.18,2018-11-09
Armandia intermedia,10.84,72.18,2018-11-09
Spiochaetopterus,10.84,72.18,2018-11-10
Pionosyllis,10.84,72.18,2018-11-10
Exogone,10.84,72.18,2018-11-10
Sphaerosyllis,10.84,72.18,2018-11-10
Syllis cornuta,10.84,72.18,2018-11-10
Dorvillea,10.84,72.18,2018-11-10
Ampharete agulhasensis,10.84,72.18,2018-11-10
Scoloplos,10.84,72.18,2018-11-10
Pseudexogone,10.84,72.18,2018-11-10
Halosydna,10.84,72.18,2018-11-10
Pseudobiceros apricus,10.88,72.2,2018-05-12
Pseudoceros bolool,10.88,72.17,2018-05-12
Pseudoceros agattiensis,10.02,72.2,2018-05-12
Pseudoceros stellans,10.0,72.18,2018-05-21
Pseudoceros paralaticlavus,10.86,72.2,2018-05-06
Pseudobiceros hancockanus,10.86,72.2,2018-05-11
Pseudoceros duplicinctus,10.85,72.19,2018-05-17
Pseudoceros bolool,10.86,72.2,2018-11-09
Pseudobiceros hancockanus,10.86,72.2,2018-11-09
Pseudoceros bolool,10.86,72.2,2019-05-06
Acanthozoon fuscobulbosum,10.86,72.2,2019-05-06
Pseudobiceros stellae,10.86,72.2,2019-05-06
Pseudoceros galatheensis,10.83,72.19,2019-05-07
Pseudobiceros damawan,10.83,72.19,2019-05-07
Pseudobiceros hancockanus,10.85,72.19,2019-05-09
Pseudoceros duplicinctus,10.85,72.19,2019-05-09
Pseudoceros duplicinctus,11.22,72.77,2020-02-17
Pseudoceros indicus,11.22,72.77,2020-02-17
Pseudoceros galatheensis,11.11,72.71,2020-02-18
Pseudobiceros stellae,11.11,72.71,2020-02-18
Pseudoceros duplicinctus,10.54,72.62,2020-02-23
Pseudoceros galatheensis,10.54,72.62,2020-02-23
Bulaceros porcellanus,10.85,72.19,2018-07-11
Bulaceros newcannorum,10.83,72.19,2019-07-05
Bulaceros newcannorum,10.56,72.63,2020-02-22
Pseudoceros galaxea,10.84,72.18,2019-05-07
Pseudoceros paralaticlavus,10.86,72.2,2018-11-09
Pseudoceros paralaticlavus,10.54,72.62,2020-02-23
Pseudobiceros stellae,11.22,72.77,2020-02-17
Pericelis byerleyana,10.86,72.2,2019-05-06
Phascolosoma (Phascolosoma) pacificum,10.86,72.2,2018-11-09
Anchylomera blossevillei,-31.98,57.483333,2009-02-16
Hyperietta stephenseni,-31.98,57.483333,2009-02-16
Themisto gaudichaudi,-47.1,57.6,2009-02-23
Themisto gaudichaudi,-47.98,48.5,2009-02-15
Themisto gaudichaudi,-47.0,45.0,2009-02-16
